DOMAIN,FQDN,URL,keywordInURL,title,description,keywords,hyperlinks,admission,engineering,management,gre,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/applied-physics/engineering-physics-meng-ithaca,True,"Engineering Physics, M.Eng. (Ithaca) | Graduate School",,,0,0,12,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/archaeology,False,Archaeology | Graduate School,,,0,0,1,1,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/archaeology/archaeology-ma-ithaca,False,"Archaeology, M.A. (Ithaca) | Graduate School",,,0,0,1,1,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/architecture,False,Architecture | Graduate School,,,0,0,3,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/architecture/design-march-ithaca,False,"Advanced Architectural Design (Post-Professional), M.S. (Ithaca) | Graduate School",,,0,1,1,0,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/architecture/architectural-science-ms-ithaca,False,"Architectural Science, M.S. (Ithaca) | Graduate School",,,0,1,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/architecture/architecture-march-ithaca,False,"Architecture, M.Arch (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/architecture/history-architecture-and-urban-development-phd-ithaca,False,"History of Architecture and Urban Development, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/art,False,Art | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/art/creative-visual-arts-mfa-ithaca,False,"Creative Visual Arts, M.F.A. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/asian-literature-religion-and-culture,False,"Asian Literature, Religion and Culture | Graduate School",,,0,1,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/asian-literature-religion-and-culture/asian-literature-religion-and-culture-phd-ithaca,False,"Asian Literature, Religion, and Culture, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/asian-studies,False,Asian Studies | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/asian-studies/asian-studies-ma-ithaca,False,"Asian Studies, M.A. (Ithaca) | Graduate School",,,0,0,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/astronomy-and-space-sciences,False,Astronomy and Space Sciences | Graduate School,,,0,0,1,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/astronomy-and-space-sciences/astronomy-phd-ithaca,False,"Astronomy, Ph.D. (Ithaca) | Graduate School",,,0,1,3,0,6,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/atmospheric-science,False,Atmospheric Science | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/atmospheric-science/atmospheric-science-ms-ithaca,False,"Atmospheric Science, M.S. (Ithaca) | Graduate School",,,0,0,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/atmospheric-science/atmospheric-science-ms-phd-ithaca,False,"Atmospheric Science, M.S./Ph.D. (Ithaca) | Graduate School",,,0,0,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/atmospheric-science/atmospheric-science-phd-ithaca,False,"Atmospheric Science, Ph.D. (Ithaca) | Graduate School",,,0,0,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/biochemistry-molecular-and-cell-biology,False,"Biochemistry, Molecular and Cell Biology | Graduate School",,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biochemistry-molecular-and-cell-biology/biochemistry-phd-ithaca,False,"Biochemistry, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biochemistry-molecular-and-cell-biology/molecular-and-cell-biology-phd-ithaca,False,"Molecular and Cell Biology, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/biological-and-environmental-engineering,True,Biological and Environmental Engineering | Graduate School,,,0,0,30,1,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biological-and-environmental-engineering/agriculture-and-life-sciences-mps-ithaca,True,"Agriculture and Life Sciences, M.P.S. (Ithaca) | Graduate School",,,0,0,7,1,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biological-and-environmental-engineering/biological-and-environmental-engineering-meng-ithaca,True,"Biological and Environmental Engineering, M.Eng. (Ithaca) | Graduate School",,,0,0,19,0,3,
